Date,Open,High,Low,Close
09/08/2025,"111,256","112,922","110,642","112,080"
09/07/2025,"110,059","111,394","110,059","111,256"
09/06/2025,"111,624","111,691","110,031","110,059"
09/05/2025,"109,807","113,369","109,793","111,624"
09/04/2025,"112,266","112,306","109,349","109,807"
09/03/2025,"110,793","112,584","110,572","112,266"
09/02/2025,"109,213","111,766","107,488","110,793"
09/01/2025,"108,938","109,898","107,278","109,213"
08/31/2025,"108,842","109,494","108,203","108,938"
08/30/2025,"108,221","108,927","107,403","108,842"
08/29/2025,"111,925","112,635","107,994","108,221"
08/28/2025,"112,098","113,464","110,895","111,925"
08/27/2025,"111,141","112,646","110,403","112,098"
08/26/2025,"110,695","111,183","108,755","111,141"
08/25/2025,"112,578","113,649","110,579","110,695"
08/24/2025,"115,102","115,611","110,893","112,578"
08/23/2025,"116,658","117,168","114,552","115,102"
08/22/2025,"112,149","117,411","111,670","116,658"
08/21/2025,"114,281","114,788","111,991","112,149"
08/20/2025,"113,109","114,438","112,388","114,281"
08/19/2025,"116,358","117,034","112,758","113,109"
08/18/2025,"117,646","118,072","114,723","116,358"
08/17/2025,"117,752","118,603","117,275","117,646"
08/16/2025,"116,983","117,995","116,944","117,752"
08/15/2025,"118,014","119,329","116,876","116,983"
08/14/2025,"122,808","124,496","117,265","118,014"
08/13/2025,"119,676","122,809","118,966","122,808"
08/12/2025,"119,074","120,169","118,218","119,676"
08/11/2025,"118,678","122,301","118,121","119,074"
08/10/2025,"116,571","119,098","116,422","118,678"
08/09/2025,"116,491","117,912","116,363","116,571"
08/08/2025,"117,527","117,677","115,912","116,491"
08/07/2025,"115,283","117,586","114,290","117,527"
08/06/2025,"113,623","115,738","113,326","115,283"
08/05/2025,"114,749","115,356","112,668","113,623"
08/04/2025,"114,300","115,727","114,086","114,749"
08/03/2025,"112,217","114,768","111,954","114,300"
08/02/2025,"113,261","114,034","112,007","112,217"
08/01/2025,"116,778","116,929","113,185","113,261"
07/31/2025,"116,933","118,916","116,749","116,778"
07/30/2025,"117,496","118,777","115,785","116,933"
07/29/2025,"118,070","119,273","116,960","117,496"
07/28/2025,"119,002","119,818","117,423","118,070"
07/27/2025,"118,279","119,556","117,872","119,002"
07/26/2025,"116,743","118,339","116,625","118,279"
07/25/2025,"119,023","119,058","114,766","116,743"
07/24/2025,"118,429","119,546","117,209","119,023"
07/23/2025,"119,342","120,284","117,380","118,429"
07/22/2025,"116,779","120,228","116,226","119,342"
07/21/2025,"118,251","119,669","116,569","116,779"
07/20/2025,"118,079","118,896","117,364","118,251"
07/19/2025,"117,411","118,563","116,915","118,079"
07/18/2025,"118,997","120,999","117,210","117,411"
07/17/2025,"119,341","120,084","117,523","118,997"
07/16/2025,"116,404","119,991","116,243","119,341"
07/15/2025,"119,936","120,466","115,727","116,404"
07/14/2025,"119,006","123,166","118,372","119,936"
07/13/2025,"117,603","119,487","117,061","119,006"
07/12/2025,"118,182","118,234","116,997","117,603"
07/11/2025,"113,417","118,862","113,374","118,182"
07/10/2025,"111,739","113,854","110,627","113,417"
07/09/2025,"108,805","112,022","108,347","111,739"
07/08/2025,"108,057","109,240","107,474","108,805"
