Date,Open,High,Low,Close
09/08/2025,"275.55","275.55","275.55","275.55"
09/05/2025,"274.23","274.23","274.23","274.23"
09/04/2025,"273.99","273.99","273.99","273.99"
09/03/2025,"272.05","272.05","272.05","272.05"
09/02/2025,"271.07","271.07","271.07","271.07"
08/29/2025,"272.85","272.85","272.85","272.85"
08/28/2025,"274.47","274.47","274.47","274.47"
08/27/2025,"273.46","273.46","273.46","273.46"
08/26/2025,"273.30","273.30","273.30","273.30"
08/25/2025,"272.51","272.51","272.51","272.51"
08/22/2025,"274.22","274.22","274.22","274.22"
08/21/2025,"269.88","269.88","269.88","269.88"
08/20/2025,"270.74","270.74","270.74","270.74"
08/19/2025,"271.05","271.05","271.05","271.05"
08/18/2025,"272.37","272.37","272.37","272.37"
08/15/2025,"272.25","272.25","272.25","272.25"
08/14/2025,"272.30","272.30","272.30","272.30"
08/13/2025,"272.79","272.79","272.79","272.79"
08/12/2025,"271.38","271.38","271.38","271.38"
08/11/2025,"268.22","268.22","268.22","268.22"
08/08/2025,"268.98","268.98","268.98","268.98"
08/07/2025,"267.63","267.63","267.63","267.63"
08/06/2025,"266.92","266.92","266.92","266.92"
08/05/2025,"265.19","265.19","265.19","265.19"
08/04/2025,"265.77","265.77","265.77","265.77"
08/01/2025,"261.97","261.97","261.97","261.97"
07/31/2025,"265.05","265.05","265.05","265.05"
07/30/2025,"266.53","266.53","266.53","266.53"
07/29/2025,"267.62","267.62","267.62","267.62"
07/28/2025,"268.10","268.10","268.10","268.10"
07/25/2025,"269.34","269.34","269.34","269.34"
07/24/2025,"268.77","268.77","268.77","268.77"
07/23/2025,"269.36","269.36","269.36","269.36"
07/22/2025,"266.26","266.26","266.26","266.26"
07/21/2025,"265.64","265.64","265.64","265.64"
07/18/2025,"265.05","265.05","265.05","265.05"
07/17/2025,"265.23","265.23","265.23","265.23"
07/16/2025,"263.74","263.74","263.74","263.74"
07/15/2025,"262.86","262.86","262.86","262.86"
07/14/2025,"264.19","264.19","264.19","264.19"
07/11/2025,"263.79","263.79","263.79","263.79"
07/10/2025,"265.13","265.13","265.13","265.13"
07/09/2025,"264.57","264.57","264.57","264.57"
07/08/2025,"263.12","263.12","263.12","263.12"
07/07/2025,"262.61","262.61","262.61","262.61"
07/03/2025,"265.10","265.10","265.10","265.10"
07/02/2025,"263.50","263.50","263.50","263.50"
07/01/2025,"262.27","262.27","262.27","262.27"
06/30/2025,"262.39","262.39","262.39","262.39"
06/27/2025,"261.31","261.31","261.31","261.31"
06/26/2025,"260.06","260.06","260.06","260.06"
06/25/2025,"257.67","257.67","257.67","257.67"
06/24/2025,"258.06","258.06","258.06","258.06"
06/23/2025,"254.71","254.71","254.71","254.71"
06/20/2025,"252.65","252.65","252.65","252.65"
06/18/2025,"254.88","254.88","254.88","254.88"
06/17/2025,"254.80","254.80","254.80","254.80"
06/16/2025,"257.23","257.23","257.23","257.23"
06/13/2025,"255.10","255.10","255.10","255.10"
06/12/2025,"258.26","258.26","258.26","258.26"
06/11/2025,"257.20","257.20","257.20","257.20"
06/10/2025,"257.56","257.56","257.56","257.56"
06/09/2025,"256.48","256.48","256.48","256.48"
06/06/2025,"256.03","256.03","256.03","256.03"
06/05/2025,"254.08","254.08","254.08","254.08"
06/04/2025,"254.70","254.70","254.70","254.70"
06/03/2025,"254.10","254.10","254.10","254.10"
06/02/2025,"253.50","253.50","253.50","253.50"
05/30/2025,"251.98","251.98","251.98","251.98"
05/29/2025,"252.06","252.06","252.06","252.06"
05/28/2025,"251.06","251.06","251.06","251.06"
05/27/2025,"252.79","252.79","252.79","252.79"
05/23/2025,"248.82","248.82","248.82","248.82"
05/22/2025,"249.51","249.51","249.51","249.51"
05/21/2025,"249.54","249.54","249.54","249.54"
05/20/2025,"252.67","252.67","252.67","252.67"
05/19/2025,"253.04","253.04","253.04","253.04"
05/16/2025,"252.41","252.41","252.41","252.41"
05/15/2025,"251.09","251.09","251.09","251.09"
05/14/2025,"249.78","249.78","249.78","249.78"
05/13/2025,"249.86","249.86","249.86","249.86"
05/12/2025,"248.46","248.46","248.46","248.46"
05/09/2025,"242.52","242.52","242.52","242.52"
05/08/2025,"242.05","242.05","242.05","242.05"
05/07/2025,"241.33","241.33","241.33","241.33"
05/06/2025,"240.91","240.91","240.91","240.91"
05/05/2025,"242.07","242.07","242.07","242.07"
05/02/2025,"242.90","242.90","242.90","242.90"
05/01/2025,"238.99","238.99","238.99","238.99"
04/30/2025,"238.37","238.37","238.37","238.37"
04/29/2025,"238.00","238.00","238.00","238.00"
04/28/2025,"236.97","236.97","236.97","236.97"
04/25/2025,"236.24","236.24","236.24","236.24"
04/24/2025,"235.24","235.24","235.24","235.24"
04/23/2025,"231.09","231.09","231.09","231.09"
04/22/2025,"228.24","228.24","228.24","228.24"
04/21/2025,"223.56","223.56","223.56","223.56"
04/17/2025,"226.83","226.83","226.83","226.83"
04/16/2025,"225.64","225.64","225.64","225.64"
04/15/2025,"229.08","229.08","229.08","229.08"
04/14/2025,"228.76","228.76","228.76","228.76"
04/11/2025,"226.50","226.50","226.50","226.50"
04/10/2025,"221.95","221.95","221.95","221.95"
04/09/2025,"227.88","227.88","227.88","227.88"
04/08/2025,"210.79","210.79","210.79","210.79"
04/07/2025,"213.58","213.58","213.58","213.58"
04/04/2025,"216.08","216.08","216.08","216.08"
04/03/2025,"229.44","229.44","229.44","229.44"
04/02/2025,"238.83","238.83","238.83","238.83"
04/01/2025,"237.39","237.39","237.39","237.39"
03/31/2025,"236.50","236.50","236.50","236.50"
03/28/2025,"236.51","236.51","236.51","236.51"
03/27/2025,"240.54","240.54","240.54","240.54"
03/26/2025,"240.88","240.88","240.88","240.88"
03/25/2025,"243.48","243.48","243.48","243.48"
03/24/2025,"243.09","243.09","243.09","243.09"
03/21/2025,"240.16","240.16","240.16","240.16"
03/20/2025,"241.37","241.37","241.37","241.37"
03/19/2025,"242.35","242.35","242.35","242.35"
03/18/2025,"240.37","240.37","240.37","240.37"
03/17/2025,"241.99","241.99","241.99","241.99"
03/14/2025,"239.72","239.72","239.72","239.72"
03/13/2025,"234.89","234.89","234.89","234.89"
03/12/2025,"237.65","237.65","237.65","237.65"
03/11/2025,"236.36","236.36","236.36","236.36"
03/10/2025,"237.32","237.32","237.32","237.32"
03/07/2025,"243.63","243.63","243.63","243.63"
03/06/2025,"242.09","242.09","242.09","242.09"
03/05/2025,"245.66","245.66","245.66","245.66"
03/04/2025,"241.65","241.65","241.65","241.65"
03/03/2025,"243.37","243.37","243.37","243.37"
02/28/2025,"246.19","246.19","246.19","246.19"
02/27/2025,"244.00","244.00","244.00","244.00"
02/26/2025,"247.59","247.59","247.59","247.59"
02/25/2025,"247.18","247.18","247.18","247.18"
02/24/2025,"247.49","247.49","247.49","247.49"
02/21/2025,"248.73","248.73","248.73","248.73"
02/20/2025,"252.26","252.26","252.26","252.26"
02/19/2025,"252.69","252.69","252.69","252.69"
02/18/2025,"253.05","253.05","253.05","253.05"
02/14/2025,"251.96","251.96","251.96","251.96"
02/13/2025,"251.82","251.82","251.82","251.82"
02/12/2025,"249.10","249.10","249.10","249.10"
02/11/2025,"249.46","249.46","249.46","249.46"
02/10/2025,"249.36","249.36","249.36","249.36"
02/07/2025,"247.79","247.79","247.79","247.79"
02/06/2025,"249.75","249.75","249.75","249.75"
02/05/2025,"248.94","248.94","248.94","248.94"
02/04/2025,"247.61","247.61","247.61","247.61"
02/03/2025,"245.37","245.37","245.37","245.37"
01/31/2025,"247.54","247.54","247.54","247.54"
01/30/2025,"249.10","249.10","249.10","249.10"
01/29/2025,"247.15","247.15","247.15","247.15"
01/28/2025,"247.82","247.82","247.82","247.82"
01/27/2025,"246.25","246.25","246.25","246.25"
01/24/2025,"249.08","249.08","249.08","249.08"
01/23/2025,"249.03","249.03","249.03","249.03"
01/22/2025,"247.78","247.78","247.78","247.78"
01/21/2025,"247.01","247.01","247.01","247.01"
01/17/2025,"244.14","244.14","244.14","244.14"
01/16/2025,"242.25","242.25","242.25","242.25"
01/15/2025,"242.04","242.04","242.04","242.04"
01/14/2025,"238.27","238.27","238.27","238.27"
01/13/2025,"237.30","237.30","237.30","237.30"
01/10/2025,"237.46","237.46","237.46","237.46"
01/08/2025,"241.30","241.30","241.30","241.30"
01/07/2025,"241.27","241.27","241.27","241.27"
01/06/2025,"243.23","243.23","243.23","243.23"
01/03/2025,"241.87","241.87","241.87","241.87"
01/02/2025,"239.38","239.38","239.38","239.38"
12/31/2024,"239.77","239.77","239.77","239.77"
12/30/2024,"240.48","240.48","240.48","240.48"
12/27/2024,"242.57","242.57","242.57","242.57"
12/26/2024,"244.41","244.41","244.41","244.41"
12/24/2024,"244.31","244.31","244.31","244.31"
12/23/2024,"242.44","242.44","242.44","242.44"
12/20/2024,"240.92","240.92","240.92","240.92"
12/19/2024,"240.93","240.93","240.93","240.93"
12/18/2024,"241.31","241.31","241.31","241.31"
12/17/2024,"248.16","248.16","248.16","248.16"
12/16/2024,"249.39","249.39","249.39","249.39"
12/13/2024,"249.05","249.05","249.05","249.05"
12/12/2024,"249.29","249.29","249.29","249.29"
12/11/2024,"250.93","250.93","250.93","250.93"
12/10/2024,"249.10","249.10","249.10","249.10"
12/09/2024,"250.50","250.50","250.50","250.50"
12/06/2024,"251.34","251.34","251.34","251.34"
12/05/2024,"250.89","250.89","250.89","250.89"
12/04/2024,"251.01","251.01","251.01","251.01"
12/03/2024,"249.82","249.82","249.82","249.82"
12/02/2024,"249.34","249.34","249.34","249.34"
11/29/2024,"248.69","248.69","248.69","248.69"
11/27/2024,"247.04","247.04","247.04","247.04"
11/26/2024,"247.32","247.32","247.32","247.32"
11/25/2024,"247.07","247.07","247.07","247.07"
11/22/2024,"246.04","246.04","246.04","246.04"
11/21/2024,"245.03","245.03","245.03","245.03"
