Date,Open,High,Low,Close,Volume
09/08/2025,"201.49","202.85","200.28","202.79","318,337"
09/05/2025,"199.99","200.98","198.88","199.62","224,229"
09/04/2025,"195.57","197.87","195.57","197.64","224,378"
09/03/2025,"192.56","193.33","192.47","193.01","317,025"
09/02/2025,"192.17","193.57","191.79","193.57","249,898"
08/29/2025,"194.22","195.09","194.03","194.57","332,207"
08/28/2025,"198.09","198.72","197.73","198.25","251,328"
08/27/2025,"195.86","196.74","195.53","196.74","244,585"
08/26/2025,"196.20","197.37","196.02","197.35","221,270"
08/25/2025,"199.45","199.99","198.21","198.37","297,564"
08/22/2025,"198.50","201.80","198.50","201.37","410,654"
08/21/2025,"196.63","197.33","196.49","197.27","253,961"
08/20/2025,"199.05","199.52","198.64","199.19","267,989"
08/19/2025,"198.45","199.68","198.32","198.60","290,169"
08/18/2025,"196.00","197.88","195.67","197.83","330,863"
08/15/2025,"194.43","194.80","193.39","193.66","278,859"
08/14/2025,"191.11","192.58","190.67","192.48","421,275"
08/13/2025,"193.65","194.63","193.65","194.40","354,648"
08/12/2025,"193.18","194.42","192.91","193.97","386,462"
08/11/2025,"188.68","190.02","187.93","189.13","279,688"
08/08/2025,"187.38","189.23","187.23","188.64","507,115"
08/07/2025,"181.86","182.99","180.54","181.49","421,779"
08/06/2025,"184.73","185.18","183.62","183.99","342,141"
08/05/2025,"182.25","182.85","181.19","181.50","385,776"
08/04/2025,"181.23","182.38","181.23","182.31","340,022"
08/01/2025,"180.94","180.94","177.77","179.69","475,932"
07/31/2025,"180.23","180.79","178.67","178.97","807,608"
07/30/2025,"184.21","184.45","182.20","182.75","357,530"
07/29/2025,"185.00","185.26","183.85","184.27","370,665"
07/28/2025,"188.46","188.46","187.00","187.18","253,635"
07/25/2025,"188.74","188.87","187.11","188.49","414,200"
07/24/2025,"192.86","193.26","191.52","191.66","678,457"
07/23/2025,"191.06","193.19","190.64","193.18","1,922,969"
07/22/2025,"169.54","170.00","169.26","169.99","415,000"
07/21/2025,"169.92","171.02","169.44","170.03","303,670"
07/18/2025,"170.10","170.16","168.51","168.65","338,203"
07/17/2025,"169.00","170.65","169.00","170.48","268,868"
07/16/2025,"169.02","169.89","168.04","169.88","400,415"
07/15/2025,"171.90","171.98","170.02","170.02","334,954"
07/14/2025,"171.24","172.32","171.07","172.14","329,447"
07/11/2025,"170.26","170.56","169.75","170.26","262,300"
07/10/2025,"169.51","170.91","169.51","170.39","669,144"
07/09/2025,"170.19","170.62","169.35","170.54","336,150"
07/08/2025,"168.60","170.32","168.60","170.20","485,659"
07/07/2025,"170.20","170.70","167.18","167.86","991,826"
07/03/2025,"174.39","175.25","174.01","174.89","334,989"
07/02/2025,"171.44","172.29","171.11","172.01","441,860"
07/01/2025,"170.80","173.16","170.66","171.54","857,098"
06/30/2025,"172.68","173.52","171.70","172.26","522,079"
06/27/2025,"175.48","176.72","174.90","175.74","512,996"
06/26/2025,"170.10","170.91","169.62","170.63","335,417"
06/25/2025,"169.92","170.03","169.07","169.15","468,386"
06/24/2025,"171.80","172.39","171.51","171.58","400,613"
06/23/2025,"170.05","171.05","169.20","170.88","622,777"
06/20/2025,"173.30","173.36","171.89","172.40","469,716"
06/18/2025,"176.45","177.44","175.59","175.59","458,602"
06/17/2025,"175.52","175.52","173.45","173.95","555,479"
06/16/2025,"178.03","179.34","177.67","177.67","433,750"
06/13/2025,"178.50","179.98","178.17","178.75","432,042"
06/12/2025,"182.25","182.40","181.32","181.99","385,859"
06/11/2025,"184.27","184.58","182.61","182.61","322,127"
06/10/2025,"184.00","185.33","183.43","185.25","405,883"
06/09/2025,"183.64","184.33","183.02","183.94","335,874"
06/06/2025,"184.94","185.66","184.69","185.14","307,873"
06/05/2025,"185.44","185.95","183.62","184.40","509,057"
06/04/2025,"189.54","190.16","187.96","187.96","598,104"
06/03/2025,"189.00","192.45","188.60","191.40","577,309"
06/02/2025,"187.80","189.14","187.80","189.14","375,026"
05/30/2025,"190.14","191.30","189.30","190.57","396,583"
05/29/2025,"186.48","186.99","184.87","186.11","392,575"
05/28/2025,"183.00","183.83","182.44","182.88","400,907"
05/27/2025,"185.04","186.95","185.04","186.68","331,124"
05/23/2025,"181.25","182.34","180.66","182.30","485,206"
05/22/2025,"181.99","183.76","181.13","182.82","378,945"
05/21/2025,"185.72","186.70","184.31","184.47","257,408"
05/20/2025,"186.15","186.42","185.41","186.36","309,961"
05/19/2025,"183.19","185.32","183.05","185.32","289,837"
05/16/2025,"182.58","183.63","182.19","183.19","355,694"
05/15/2025,"182.30","183.81","181.95","183.45","451,728"
05/14/2025,"188.17","188.61","186.49","187.00","487,847"
05/13/2025,"192.75","194.33","192.22","193.97","370,546"
05/12/2025,"190.97","192.91","190.70","192.32","387,603"
05/09/2025,"186.44","187.82","186.10","187.53","465,261"
05/08/2025,"185.82","191.41","185.54","187.92","709,883"
05/07/2025,"189.82","190.23","188.38","188.90","303,019"
05/06/2025,"192.18","193.67","191.85","192.43","301,414"
05/05/2025,"192.09","193.88","192.09","192.48","204,035"
05/02/2025,"192.97","192.97","190.72","192.24","225,487"
05/01/2025,"191.23","191.87","190.27","190.58","327,023"
04/30/2025,"189.91","191.74","188.55","191.22","343,876"
04/29/2025,"194.68","195.78","193.59","195.39","422,018"
04/28/2025,"193.90","194.54","192.38","193.13","554,375"
04/25/2025,"188.07","188.46","186.01","188.21","378,288"
04/24/2025,"185.49","186.82","183.65","186.61","433,901"
04/23/2025,"182.50","184.06","181.26","181.43","336,162"
04/22/2025,"176.65","179.00","176.59","178.70","359,375"
04/21/2025,"175.53","175.70","172.66","174.52","331,594"
04/17/2025,"175.34","177.82","175.34","176.38","330,259"
04/16/2025,"175.65","177.47","173.72","175.10","384,875"
04/15/2025,"174.55","176.50","173.94","174.24","427,803"
04/14/2025,"169.11","173.07","168.93","172.00","423,648"
04/11/2025,"167.44","170.00","165.86","169.42","486,935"
04/10/2025,"169.45","169.68","163.71","167.22","736,138"
04/09/2025,"160.91","174.48","160.00","174.14","1,149,147"
04/08/2025,"167.27","167.86","157.61","159.32","624,540"
04/07/2025,"155.25","166.11","155.00","160.34","1,022,774"
04/04/2025,"159.99","161.44","156.73","158.63","919,788"
04/03/2025,"170.49","171.54","167.50","168.07","614,145"
04/02/2025,"176.11","178.30","175.24","177.31","307,923"
04/01/2025,"175.80","175.80","173.37","174.42","474,743"
03/31/2025,"175.75","177.29","174.66","176.53","335,931"
03/28/2025,"180.19","181.61","177.79","179.07","459,563"
03/27/2025,"184.50","185.23","182.52","183.98","484,989"
03/26/2025,"191.70","191.70","189.08","189.28","228,506"
03/25/2025,"192.78","193.50","191.93","193.01","167,515"
03/24/2025,"191.40","192.71","191.40","192.47","186,585"
03/21/2025,"190.00","191.62","189.48","190.70","229,174"
03/20/2025,"190.41","192.65","190.20","192.17","258,851"
03/19/2025,"192.48","193.72","191.76","193.14","280,826"
03/18/2025,"189.90","191.00","188.94","190.20","274,848"
03/17/2025,"186.54","189.50","186.44","188.41","306,987"
03/14/2025,"185.75","186.88","185.34","186.67","274,616"
03/13/2025,"183.80","184.87","182.28","182.97","363,916"
03/12/2025,"186.53","186.53","184.53","185.65","255,695"
03/11/2025,"185.69","186.19","183.00","184.53","294,996"
03/10/2025,"190.04","190.90","186.76","188.35","347,938"
03/07/2025,"189.59","190.50","187.44","190.18","280,463"
03/06/2025,"188.51","189.92","186.95","187.51","467,601"
03/05/2025,"190.45","192.92","189.59","192.35","634,457"
03/04/2025,"182.52","183.00","178.32","180.66","436,151"
03/03/2025,"188.33","189.11","182.84","183.79","523,699"
02/28/2025,"179.69","181.53","179.12","181.48","363,620"
02/27/2025,"185.01","185.70","182.25","182.28","277,326"
02/26/2025,"181.69","183.06","181.16","181.21","250,383"
02/25/2025,"180.70","180.93","178.14","179.46","263,343"
02/24/2025,"177.57","177.80","176.00","176.62","237,802"
02/21/2025,"180.17","180.17","176.94","177.11","639,145"
02/20/2025,"180.50","180.79","179.38","180.68","176,157"
02/19/2025,"181.30","181.31","179.60","180.10","347,921"
02/18/2025,"184.47","184.72","183.72","184.07","206,935"
02/14/2025,"185.00","185.74","183.46","184.24","231,510"
02/13/2025,"183.85","185.15","183.46","184.01","237,842"
02/12/2025,"181.95","183.52","181.53","182.69","269,081"
02/11/2025,"184.18","186.26","184.18","185.74","237,289"
02/10/2025,"185.96","186.37","184.78","185.06","172,562"
02/07/2025,"187.14","187.70","183.32","183.98","478,652"
02/06/2025,"191.25","191.60","189.66","190.50","364,086"
02/05/2025,"194.14","196.62","192.40","195.35","585,960"
02/04/2025,"186.57","187.56","185.81","187.56","408,392"
02/03/2025,"182.62","185.86","181.14","183.65","477,917"
01/31/2025,"191.50","191.84","188.29","188.93","420,262"
01/30/2025,"190.94","191.72","189.77","190.97","410,142"
01/29/2025,"187.62","188.04","186.48","186.98","258,228"
01/28/2025,"186.15","186.40","184.15","185.29","382,635"
01/27/2025,"186.80","187.06","185.82","186.50","308,124"
01/24/2025,"185.98","187.46","185.40","186.61","278,913"
01/23/2025,"186.01","186.70","185.05","186.27","237,653"
01/22/2025,"187.00","187.50","186.40","186.52","247,825"
01/21/2025,"184.46","186.93","184.46","186.93","330,436"
01/17/2025,"180.26","181.39","179.72","180.78","432,102"
01/16/2025,"181.52","182.35","181.25","181.48","422,396"
01/15/2025,"186.28","186.64","183.99","184.84","416,639"
01/14/2025,"185.56","185.94","184.58","185.41","326,349"
01/13/2025,"182.24","183.50","181.48","183.25","310,719"
01/10/2025,"185.69","186.35","183.43","183.47","473,091"
01/08/2025,"192.96","193.02","191.52","192.55","436,715"
01/07/2025,"194.59","194.97","192.42","193.12","585,541"
01/06/2025,"193.00","193.27","189.84","190.39","664,416"
01/03/2025,"194.19","195.50","193.23","195.25","611,381"
01/02/2025,"194.40","194.80","192.00","193.12","615,743"
12/31/2024,"195.35","196.57","193.94","194.61","442,617"
12/30/2024,"198.00","198.00","195.61","195.66","463,609"
12/27/2024,"200.36","201.00","198.18","199.52","779,542"
12/26/2024,"195.97","198.00","193.13","197.36","1,297,220"
12/24/2024,"181.00","181.72","180.83","181.43","168,580"
12/23/2024,"179.12","180.62","177.97","180.45","422,688"
12/20/2024,"175.84","179.92","175.84","178.17","425,694"
12/19/2024,"174.86","175.80","173.77","174.21","405,896"
12/18/2024,"177.33","179.37","173.55","173.62","457,921"
12/17/2024,"174.00","174.63","173.28","173.28","420,959"
12/16/2024,"174.57","174.97","173.85","174.25","327,358"
12/13/2024,"176.17","176.27","175.05","175.86","226,009"
12/12/2024,"177.94","178.59","176.82","176.90","214,096"
12/11/2024,"177.30","178.44","176.48","178.15","290,341"
12/10/2024,"177.01","177.35","175.34","175.71","237,127"
12/09/2024,"176.35","178.60","176.21","177.01","375,985"
12/06/2024,"175.86","176.24","175.29","175.95","290,724"
12/05/2024,"175.58","176.15","174.40","174.40","405,527"
12/04/2024,"176.25","176.25","174.25","174.78","400,545"
12/03/2024,"176.70","176.76","175.57","176.00","412,181"
12/02/2024,"173.35","176.14","173.16","175.81","634,891"
11/29/2024,"169.80","170.63","169.42","170.63","247,724"
11/27/2024,"170.08","170.35","169.12","169.72","478,541"
11/26/2024,"173.20","173.43","172.31","172.52","410,685"
11/25/2024,"175.87","176.56","175.17","175.83","347,925"
11/22/2024,"172.75","174.78","172.64","174.40","369,057"
11/21/2024,"173.05","174.26","172.98","173.38","314,749"
11/20/2024,"173.77","174.21","171.77","172.91","295,507"
11/19/2024,"175.20","176.09","175.00","175.39","254,581"
11/18/2024,"173.00","175.82","172.84","174.78","289,389"
11/15/2024,"173.23","173.55","171.78","172.84","282,329"
11/14/2024,"173.27","174.64","173.01","173.48","424,919"
11/13/2024,"172.31","172.92","171.29","172.35","268,587"
