Date,Open,High,Low,Close,Volume
09/08/2025,"465,500","465,500","463,000","463,000","4,179"
09/05/2025,"468,000","468,000","464,000","466,000","12,136"
09/04/2025,"470,540","470,540","468,120","469,440","7,922"
09/03/2025,"470,380","471,420","468,200","468,200","5,298"
09/02/2025,"470,520","472,200","470,520","470,620","2,404"
09/01/2025,"468,200","468,200","468,200","468,200","19,255"
08/29/2025,"472,280","473,740","470,000","473,500","1,806"
08/28/2025,"469,800","469,800","469,800","469,800","48"
08/27/2025,"474,220","474,220","472,000","472,000","1,060"
08/26/2025,"475,360","475,360","473,200","473,200","511"
08/25/2025,"470,500","470,500","470,500","470,500","475"
08/22/2025,"471,040","471,380","470,000","471,380","2,010"
08/21/2025,"472,700","472,700","471,800","471,800","1,642"
08/20/2025,"470,300","472,740","470,300","472,700","7,029"
08/19/2025,"471,060","474,000","471,060","473,500","2,227"
08/15/2025,"472,100","472,100","471,000","471,000","663"
08/14/2025,"472,100","472,100","472,100","472,100","2,028"
08/13/2025,"471,000","472,500","469,800","471,000","2,511"
08/12/2025,"470,120","472,200","470,000","472,200","8,578"
08/11/2025,"473,900","474,500","470,000","472,080","10,886"
08/08/2025,"472,900","474,920","472,900","474,920","2,172"
08/06/2025,"473,000","473,780","473,000","473,780","1,155"
08/05/2025,"479,960","479,960","463,100","479,960","11"
08/04/2025,"479,000","479,960","479,000","479,960","1,186"
08/01/2025,"482,420","482,420","481,020","481,400","4,272"
07/31/2025,"489,400","490,400","487,900","490,400","603"
07/30/2025,"487,440","489,400","487,440","489,400","1,382"
07/29/2025,"485,000","485,000","481,180","481,240","696"
07/28/2025,"487,000","487,720","485,020","485,020","3,730"
07/25/2025,"477,000","483,000","477,000","481,580","2,050"
07/24/2025,"475,300","475,300","475,000","475,000","265"
07/23/2025,"473,840","473,840","472,700","472,700","1,493"
07/22/2025,"472,880","472,880","472,880","472,880","834"
07/21/2025,"470,360","471,000","470,360","471,000","75"
07/18/2025,"469,000","469,000","466,000","466,000","3,899"
07/17/2025,"469,000","469,000","469,000","469,000","38"
07/16/2025,"473,500","473,500","468,300","468,980","1,980"
07/15/2025,"467,840","471,600","467,840","471,600","1,238"
07/14/2025,"468,500","468,800","466,500","468,040","1,436"
07/11/2025,"468,720","468,720","467,120","467,120","1,925"
07/10/2025,"469,000","469,860","467,920","469,000","4,749"
07/09/2025,"471,000","504,900","467,920","467,920","5,572"
07/08/2025,"473,800","473,800","471,540","473,000","1,152"
07/07/2025,"466,840","472,300","466,840","472,300","2,146"
07/04/2025,"465,000","475,000","465,000","465,000","22"
07/03/2025,"464,460","465,000","462,220","465,000","27,667"
07/02/2025,"469,000","469,420","465,840","466,020","27,850"
07/01/2025,"473,820","484,000","469,100","484,000","13,770"
06/27/2025,"473,700","488,000","471,920","488,000","1,698"
06/26/2025,"472,000","472,000","470,900","471,000","30,308"
06/25/2025,"474,000","474,060","471,880","473,000","1,323"
06/24/2025,"474,260","489,700","474,260","474,260","13"
06/20/2025,"472,300","489,980","472,300","474,500","4,389"
06/19/2025,"474,500","490,000","472,100","474,500","33"
06/18/2025,"476,000","476,000","471,500","474,500","14,085"
06/17/2025,"477,440","479,500","477,440","477,800","3,613"
06/16/2025,"477,460","489,980","475,100","477,300","2,102"
06/13/2025,"484,500","484,500","478,220","481,800","517"
06/12/2025,"484,920","484,920","484,800","484,900","352"
06/11/2025,"487,280","487,280","485,800","485,800","2,072"
06/10/2025,"490,440","490,440","489,000","490,440","2,617"
06/09/2025,"481,360","481,360","481,360","481,360","489"
06/06/2025,"484,000","490,440","478,000","478,000","7,954"
06/05/2025,"477,300","477,300","476,440","477,000","3,851"
06/04/2025,"477,000","478,000","476,400","476,400","1,377"
06/03/2025,"478,620","478,620","478,620","478,620","167"
05/30/2025,"482,140","482,940","482,140","482,940","1,147"
05/29/2025,"476,860","477,060","475,300","476,880","1,744"
05/28/2025,"478,760","479,600","478,760","479,000","15,349"
05/27/2025,"480,400","480,400","477,500","478,800","2,236"
05/26/2025,"482,600","495,000","480,100","482,600","2"
05/23/2025,"482,900","483,700","482,440","482,440","1,356"
05/22/2025,"485,300","485,300","483,860","483,860","2,399"
05/21/2025,"484,200","484,200","482,800","482,820","391"
