Date,Open,High,Low,Close,Volume
09/08/2025,"789.65","798.70","786.75","796.25","1,284,454"
09/05/2025,"774.88","783.10","766.24","781.70","1,887,344"
09/04/2025,"737.05","756.90","735.43","753.43","1,532,740"
09/03/2025,"732.22","738.30","729.56","736.82","1,330,252"
09/02/2025,"717.21","727.20","716.20","725.85","1,867,363"
08/29/2025,"753.00","753.60","739.79","742.62","1,317,792"
08/28/2025,"770.00","773.17","760.87","763.46","985,360"
08/27/2025,"760.00","770.58","757.79","770.00","1,140,737"
08/26/2025,"758.77","763.50","755.91","763.20","860,093"
08/25/2025,"754.75","758.26","752.09","754.46","731,124"
08/22/2025,"741.68","761.57","740.37","754.89","1,455,979"
08/21/2025,"739.36","741.50","732.11","735.40","952,689"
08/20/2025,"750.80","753.44","738.18","749.49","1,368,382"
08/19/2025,"751.54","755.69","741.71","743.61","1,121,286"
08/18/2025,"739.67","748.00","739.44","747.55","1,086,381"
08/15/2025,"738.50","747.15","736.66","742.16","1,635,071"
08/14/2025,"747.28","757.00","744.56","755.21","1,577,397"
08/13/2025,"750.63","756.20","747.54","755.57","2,011,885"
08/12/2025,"725.53","743.35","723.48","741.79","1,463,882"
08/11/2025,"724.00","731.86","719.52","721.31","1,179,742"
08/08/2025,"712.41","723.50","710.45","722.32","1,042,936"
08/07/2025,"714.02","716.90","706.62","713.12","1,723,821"
08/06/2025,"687.65","692.43","685.44","690.96","1,218,701"
08/05/2025,"694.72","695.63","684.24","689.63","1,261,219"
08/04/2025,"695.58","699.45","692.90","699.36","1,025,554"
08/01/2025,"690.00","693.43","683.48","689.82","1,627,113"
07/31/2025,"706.40","707.54","691.21","694.71","2,892,155"
07/30/2025,"716.89","724.02","715.50","721.45","1,407,034"
07/29/2025,"722.73","726.92","715.70","718.49","2,292,900"
07/28/2025,"735.15","735.41","728.49","729.99","2,253,865"
07/25/2025,"709.14","713.15","706.60","711.25","2,312,071"
07/24/2025,"723.01","726.63","718.36","725.08","2,037,055"
07/23/2025,"715.21","719.97","708.13","716.93","3,379,367"
07/22/2025,"718.31","719.06","701.19","705.48","3,425,061"
